INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Month,Year,Week
111TH AND HALSTED,2424.0,800 W 111TH ST,2022-09-01,7,1172945.404219168,1831282.917027882,41.692465363,-87.642440901,"(41.692465363421874, -87.64244090105778)",September,2022,35
OGDEN AND KOSTNER,2223.0,4400 W OGDEN AVENUE,2018-09-13,13,1147406.592439224,1887689.099869462,41.847777523,-87.734505969,"(41.84777752280453, -87.73450596874825)",September,2018,37
ROOSEVELT AND HALSTED,2233.0,800 W ROOSEVELT ROAD,2020-01-24,4,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",January,2020,4
PULASKI AND FOSTER,1104.0,4000 W FOSTER AVE,2019-08-19,4,1148759.16134887,1934294.249006446,41.975640616,-87.728335469,"(41.975640616231914, -87.72833546926573)",August,2019,34
BELMONT AND KEDZIE,1371.0,3200 N KEDZIE AVENUE,2021-12-30,1,1154426.977874407,1921110.466549542,41.93935173,-87.707846594,"(41.93935173030961, -87.70784659359776)",December,2021,52
LAKE SHORE DR AND BELMONT,1412.0,3200 N LAKESHORE DRIV,2019-06-25,5,1173053.220555078,1921821.380831705,41.940909163,-87.63936916,"(41.94090916326764, -87.63936915995522)",June,2019,26
ASHLAND AND DIVISION,1793.0,1600 W DIVISION STREET,2017-07-03,1,1165489.684200442,1908112.312963909,41.903455316,-87.667558994,"(41.903455316483814, -87.66755899396976)",July,2017,27
WESTERN AND ADDISON,1563.0,2400 W ADDISON,2022-11-13,3,1159719.041544334,1923878.577275797,41.946839991,-87.688320193,"(41.9468399910054, -87.68832019252964)",November,2022,45
PETERSON AND WESTERN,1011.0,6000 N WESTERN AVE,2022-07-13,3,1159190.625032041,1939816.75471116,41.990586042,-87.689822473,"(41.99058604241958, -87.68982247294417)",July,2022,28
71ST AND ASHLAND,2394.0,1600 W 71ST,2020-11-18,7,1166890.012333149,1857674.2502247,41.765018306,-87.66385923,"(41.76501830555763, -87.66385923012646)",November,2020,47
PULASKI AND IRVING PARK,1572.0,4000 N PULASKI ROAD,2017-12-31,4,1148970.255325552,1926313.600468643,41.953737051,-87.727766612,"(41.95373705144353, -87.72776661179896)",December,2017,52
STONY ISLAND/CORNELL AND 67TH,2721.0,6700 S STONY ISLAND A,2019-02-06,9,1187984.143047539,1860863.338367666,41.773292896,-87.586442368,"(41.77329289585066, -87.58644236831432)",February,2019,6
MONTROSE AND WESTERN,1224.0,2400 W MONTROSE AVENUE,2016-02-13,3,1159562.971802959,1929191.337701253,41.961421726,-87.68874698,"(41.961421726406314, -87.68874697983858)",February,2016,6
HALSTED AND 95TH,2581.0,9500 S HALSTED STREET,2014-12-03,3,1172610.538363645,1841811.61926207,41.721365061,-87.643358042,"(41.72136506078306, -87.64335804234075)",December,2014,49
55TH AND WESTERN,2213.0,2400 W 55TH STREET,2021-02-03,2,1161277.012730599,1868185.749490228,41.793981347,-87.684141741,"(41.7939813465735, -87.68414174128355)",February,2021,5
WESTERN AND MARQUETTE,2672.0,6700 S WESTERN AVENUE,2021-06-25,8,1161488.747635042,1860134.788366884,41.771884028,-87.683588402,"(41.77188402771193, -87.68358840206334)",June,2021,25
WESTERN AND 71ST,2612.0,7100 S WESTERN AVENUE,2015-01-08,8,1161563.704681724,1857484.211306323,41.764608912,-87.683387053,"(41.76460891223613, -87.68338705328121)",January,2015,2
DAMEN AND FULLERTON,1663.0,2000 W FULLERTON AVE,2021-07-22,21,1162596.935552891,1915990.579747891,41.925134944,-87.677963546,"(41.92513494374925, -87.67796354553815)",July,2021,29
LASALLE AND KINZIE,1921.0,400 N LASALLE,2014-10-05,4,1175028.579766798,1903002.552291359,41.889225372,-87.632674115,"(41.88922537162015, -87.63267411498495)",October,2014,40
ELSTON AND ADDISON,1403.0,3216 W ADDISON ST,2014-10-20,5,1154199.729816868,1923799.345386665,41.946734755,-87.708609774,"(41.946734754927796, -87.7086097735515)",October,2014,43
CANAL AND ROOSEVELT,2294.0,500 W ROOSEVELT ROAD,2022-01-10,7,1173290.72186561,1895021.166235495,41.867362693,-87.639293195,"(41.867362692616666, -87.63929319464197)",January,2022,2
KEDZIE AND ARMITAGE,1834.0,3200 W ARMITAGE AVENUE,2020-02-18,1,1154700.851347995,1913153.252187904,41.917511023,-87.707053639,"(41.91751102291878, -87.7070536388797)",February,2020,8
WESTERN AND 79TH,2484.0,2400 W 79TH ST,2023-06-30,4,1161758.68085177,1852242.255513454,41.750220168,-87.682817693,"(41.75022016799851, -87.68281769253687)",June,2023,26
CALIFORNIA AND PETERSON,1311.0,6000 N CALIFORNIA AVE,2020-06-06,1,1156545.742699118,1939775.775541795,41.990527717,-87.699552084,"(41.990527717148176, -87.69955208405155)",June,2020,23
ROOSEVELT AND HALSTED,2234.0,800 W ROOSEVELT ROAD,2023-08-07,13,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",August,2023,32
ELSTON AND LAWRENCE,1284.0,4440 W LAWRENCE AVENUE,2020-03-31,1,1145715.061027481,1931571.0474838,41.968226398,-87.739599251,"(41.96822639754791, -87.73959925065756)",March,2020,14
FOSTER AND BROADWAY,1113.0,1200 W FOSTER AVE,2016-11-01,5,1167357.095930752,1934721.393266777,41.97643192,-87.659931806,"(41.97643192018459, -87.65993180604016)",November,2016,44
PULASKI AND ARCHER,2154.0,5000 S ARCHER AVE,2018-12-19,2,1150501.818909837,1871162.311703322,41.802365973,-87.723576766,"(41.80236597333895, -87.72357676611004)",December,2018,51
ROOSEVELT AND PULASKI,2314.0,4000 W ROOSEVELT ROAD,2021-01-08,8,1149885.032049683,1894449.464076882,41.866281003,-87.72523422,"(41.866281002664536, -87.72523421983905)",January,2021,1
WESTERN AND MARQUETTE,2672.0,6700 S WESTERN AVENUE,2015-08-25,6,1161488.747635042,1860134.788366884,41.771884028,-87.683588402,"(41.77188402771193, -87.68358840206334)",August,2015,35
PULASKI AND DIVISION,1801.0,1200 N PULASKI ROAD,2016-12-04,1,1149459.590666926,1907723.219884254,41.902713902,-87.726451457,"(41.902713901936174, -87.72645145715836)",December,2016,48
CLARK AND IRVING PARK,1091.0,4000 N CLARK STREET,2020-07-15,1,1166736.149822904,1926699.323624709,41.954432441,-87.662446259,"(41.95443244141688, -87.66244625914061)",July,2020,29
HALSTED AND 95TH,2581.0,9500 S HALSTED STREET,2017-06-05,2,1172610.538363645,1841811.61926207,41.721365061,-87.643358042,"(41.72136506078306, -87.64335804234075)",June,2017,23
WESTERN AND FULLERTON,1671.0,2400 N WESTERN AVENUE,2016-09-12,12,1159923.309342995,1915897.778561358,41.924935944,-87.687790255,"(41.92493594409127, -87.68779025471278)",September,2016,37
HALSTED AND MADISON,1871.0,1 S HALSTED STREET,2019-05-01,2,1171092.392868784,1900234.542088741,41.881717056,-87.647210539,"(41.88171705561901, -87.64721053920604)",May,2019,18
STONEY ISLAND AND 76TH,2631.0,7600 S STONY ISLAND A,2015-08-24,20,1188092.796191935,1854889.354158304,41.756897173,-87.586234285,"(41.75689717260223, -87.58623428506996)",August,2015,35
CENTRAL AND ADDISON,1683.0,5600 W ADDISON STREET,2017-06-25,2,1138349.663302502,1923416.02157061,41.945985104,-87.766879952,"(41.94598510430888, -87.76687995165918)",June,2017,25
PULASKI AND DIVERSEY,1542.0,2800 N PULASKI ROAD,2019-01-26,3,1149200.724531183,1918332.222549679,41.931831026,-87.727126873,"(41.93183102561505, -87.72712687300454)",January,2019,4
CENTRAL AND ADDISON,1682.0,3600 N CENTRAL AVENUE,2019-04-13,2,1138343.117435682,1923392.067464765,41.945919491,-87.766904594,"(41.945919490555106, -87.76690459426293)",April,2019,15
WESTERN AND ADDISON,1562.0,3600 N WESTERN AVENUE,2021-02-09,5,1159695.573342728,1923871.086283556,41.94681992,-87.688406662,"(41.94681991986288, -87.68840666206194)",February,2021,6
LAWRENCE AND WESTERN,1192.0,4800 N WESTERN AVENUE,2016-09-26,5,1159459.622430471,1931821.342623414,41.968640727,-87.689054241,"(41.96864072747715, -87.6890542408374)",September,2016,39
KEDZIE AND 47TH,2104.0,3200 W 47TH ST,2021-12-08,4,1155815.231505056,1873336.169728074,41.808226246,-87.704031672,"(41.808226246244026, -87.70403167215984)",December,2021,49
MILWAUKEE AND MONTROSE,1364.0,5075 W MONTROSE AVENUE,2020-11-10,2,1141716.746618898,1928736.076639057,41.960522088,-87.754371424,"(41.96052208819935, -87.75437142402293)",November,2020,46
WESTERN AND FOSTER,1072.0,5200 N WESTERN AVE,2017-12-28,3,1159372.922497116,1934478.313674003,41.975933372,-87.689299589,"(41.97593337199358, -87.6892995891816)",December,2017,52
WESTERN AND FULLERTON,1672.0,2400 N WESTERN AVENUE,2017-07-07,3,1159923.309342995,1915897.778561358,41.924935944,-87.687790255,"(41.92493594409127, -87.68779025471278)",July,2017,27
CENTRAL AND CHICAGO,1973.0,5600 W CHICAGO AVENUE,2022-05-17,9,1138858.856732452,1904825.827586656,41.894962293,-87.765460791,"(41.89496229349977, -87.76546079122906)",May,2022,20
ASHLAND AND LAWRENCE,1143.0,1600 W LAWRENCE AVENUE,2023-06-08,7,1164771.946929007,1931988.254061312,41.968987457,-87.669516307,"(41.96898745654617, -87.66951630654926)",June,2023,23
ARCHER AND CICERO,2084.0,5400 S ARCHER AVE,2015-11-07,9,1145209.426392053,1869810.657411975,41.798758208,-87.743020541,"(41.798758207843264, -87.74302054146467)",November,2015,45
WESTERN AND 63RD,2371.0,6300 S WESTERN AVE,2018-04-03,1,1161415.712688877,1862772.38856596,41.779123484,-87.683783099,"(41.77912348383963, -87.68378309863576)",April,2018,14
CENTRAL AND MILWAUKEE,3032.0,5232 N CENTRAL AVE,2021-12-16,2,1137802.482559734,1934544.360556488,41.976532211,-87.768621661,"(41.976532211352456, -87.76862166095856)",December,2021,50
WESTERN AND CHICAGO,1943.0,2400 W CHICAGO AVE,2018-06-11,1,1160226.686812944,1905300.904544474,41.895851041,-87.686968935,"(41.895851041123755, -87.68696893468467)",June,2018,24
WESTERN AND FOSTER,1072.0,5200 N WESTERN AVE,2017-05-27,1,1159372.922497116,1934478.313674003,41.975933372,-87.689299589,"(41.97593337199358, -87.6892995891816)",May,2017,21
99TH AND HALSTED,2433.0,800 W 99TH ST,2022-03-20,28,1172710.642565684,1839246.330602143,41.714323337,-87.643066714,"(41.71432333701137, -87.64306671421937)",March,2022,11
TOUHY AND OSCEOLA,1243.0,7432 W TOUHY AVENUE,2020-07-05,2,1125717.010560011,1947269.685461107,42.011661765,-87.812781431,"(42.01166176507329, -87.81278143114147)",July,2020,27
ROOSEVELT AND HALSTED,2234.0,800 W ROOSEVELT ROAD,2021-06-22,45,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",June,2021,25
LAWRENCE AND WESTERN,1193.0,2400 W LAWRENCE AVENUE,2015-03-29,5,1159482.648570304,1931851.989492596,41.968724349,-87.688968727,"(41.96872434882172, -87.68896872699601)",March,2015,13
DIVERSEY AND WESTERN,1434.0,2400 W DIVERSEY AVENUE,2021-10-10,1,1159859.648423836,1918576.255784305,41.932287183,-87.687950093,"(41.93228718299094, -87.6879500934122)",October,2021,40
PULASKI AND 79TH,2494.0,4000 W 79TH STREET,2020-01-04,3,1151074.116357501,1851966.830243835,41.749679359,-87.721978345,"(41.74967935883473, -87.72197834524168)",January,2020,1
CANAL AND ROOSEVELT,2291.0,1200 S CANAL STREET,2016-07-18,11,1173268.771030949,1894952.634878732,41.867175125,-87.639375813,"(41.86717512472001, -87.63937581258092)",July,2016,29
ASHLAND AND 95TH,2473.0,1600 W 95TH STREET,2023-06-14,12,1167323.753394196,1841755.029221382,41.721324412,-87.662724153,"(41.721324411975246, -87.66272415265087)",June,2023,24
CALIFORNIA AND DIVERSEY,1513.0,2800 W DIVERSEY,2021-10-24,3,1157212.54253358,1918526.674434943,41.932205395,-87.697679244,"(41.93220539506452, -87.6976792438691)",October,2021,42
JEFFERY AND 95TH,2523.0,2000 E 95TH ST,2023-05-01,4,1191188.381103057,1842410.411853539,41.722579473,-87.575292523,"(41.722579473126416, -87.57529252250366)",May,2023,18
ROOSEVELT AND KOSTNER,2323.0,4400 W ROOSEVELT,2015-06-22,5,1147200.963258796,1894379.538078088,41.866140868,-87.73508956,"(41.866140867641654, -87.73508956008207)",June,2015,26
IRVING PARK AND KEDZIE,1353.0,3200 W IRVING PARK ROAD,2014-10-15,4,1154325.140302006,1926458.463197156,41.954029047,-87.708077494,"(41.95402904691877, -87.70807749383191)",October,2014,42
COLUMBUS AND ILLINOIS,1951.0,500 N COLUMBUS DRIVE,2016-03-11,26,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)",March,2016,10
CICERO AND ADDISON,1612.0,3600 N CICERO AVENUE,2015-06-26,10,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)",June,2015,26
CICERO AND CHICAGO,1781.0,800 N CICERO AVENUE,2018-03-18,6,1144169.162482127,1904893.189220372,41.895049038,-87.745955516,"(41.89504903796389, -87.74595551626888)",March,2018,11
LARAMIE AND FULLERTON,1421.0,2400 N LARAMIE AVENUE,2019-08-03,1,1141282.877477884,1915479.163971956,41.924151874,-87.756294662,"(41.92415187425276, -87.75629466175003)",August,2019,31
ARCHER AND CICERO,2081.0,5200 S CICERO AVE,2018-02-16,22,1145195.931989777,1869737.708306623,41.798558278,-87.743071866,"(41.798558278193305, -87.74307186616427)",February,2018,7
119TH AND HALSTED,2404.0,800 W 119TH STREET,2014-11-19,1,1173111.174088158,1825985.001014405,41.677923389,-87.641989646,"(41.677923389134385, -87.64198964584013)",November,2014,47
AUSTIN AND IRVING PARK,1161.0,4000 N AUSTIN AVENUE,2016-12-26,2,1135599.956110927,1926006.862619986,41.953144059,-87.776925284,"(41.95314405904539, -87.77692528423394)",December,2016,52
75TH AND STATE,2624.0,1 E 75TH STREET,2017-05-26,9,1177601.72646404,1855229.486604181,41.758074111,-87.624671658,"(41.75807411097799, -87.62467165835182)",May,2017,21
CICERO AND DIVERSEY,1691.0,2800 N CICERO AVENUE,2023-08-05,8,1143863.647574835,1918202.018463414,41.931575608,-87.746743301,"(41.93157560844622, -87.74674330113561)",August,2023,31
PULASKI AND NORTH,1992.0,1600 N PULASKI AVENUE,2016-04-21,3,1149432.959240306,1910369.112502195,41.90997501,-87.726480523,"(41.909975010236906, -87.72648052306623)",April,2016,16
CENTRAL AND DIVERSEY,1644.0,5600 W DIVERSEY AVENUE,2019-04-30,1,1138539.758528398,1918097.096677271,41.931385977,-87.766310532,"(41.93138597683265, -87.76631053155157)",April,2019,18
119TH AND HALSTED,2404.0,800 W 119TH STREET,2016-12-20,4,1173111.174088158,1825985.001014405,41.677923389,-87.641989646,"(41.677923389134385, -87.64198964584013)",December,2016,51
79TH AND KEDZIE,2443.0,3200 W 79TH ST,2021-12-12,9,1156402.644780165,1852104.649370984,41.749952001,-87.702448478,"(41.74995200142266, -87.70244847808695)",December,2021,49
CICERO AND I55,2252.0,4200 S CICERO AVENUE,2021-07-04,15,1145023.742859509,1876358.276835519,41.816729387,-87.743536712,"(41.81672938674739, -87.74353671247594)",July,2021,26
75TH AND STATE,2621.0,7500 S STATE STREET,2020-01-30,8,1177538.763040612,1855235.551345519,41.758092176,-87.624902228,"(41.75809217638291, -87.6249022282473)",January,2020,5
MILWAUKEE AND DEVON,1272.0,6400 N MILWAUKEE AVEN,2021-01-03,4,1132463.750397878,1942107.911507627,41.997382173,-87.788077674,"(41.99738217345368, -87.78807767391953)",January,2021,53
CERMAK AND PULASKI,2332.0,2200 S PULASKI,2020-06-16,4,1150012.876838243,1889071.75851865,41.851521442,-87.724904787,"(41.85152144233116, -87.7249047867499)",June,2020,25
FOSTER AND NAGLE,1034.0,6400 W FOSTER,2023-09-26,7,1132552.893142153,1934229.875527466,41.975762574,-87.787934296,"(41.97576257447203, -87.7879342955108)",September,2023,39
ASHLAND AND MADISON,1914.0,1600 W MADISON,2020-02-17,1,1165723.014733182,1900136.515489506,41.881564167,-87.666929463,"(41.8815641670199, -87.66692946294842)",February,2020,8
FOSTER AND BROADWAY,1113.0,1200 W FOSTER AVE,2020-05-02,2,1167357.095930752,1934721.393266777,41.97643192,-87.659931806,"(41.97643192018459, -87.65993180604016)",May,2020,18
CICERO AND CHICAGO,1781.0,800 N CICERO AVENUE,2019-10-02,2,1144169.162482127,1904893.189220372,41.895049038,-87.745955516,"(41.89504903796389, -87.74595551626888)",October,2019,40
PULASKI AND DIVISION,1801.0,1200 N PULASKI ROAD,2019-09-08,2,1149459.590666926,1907723.219884254,41.902713902,-87.726451457,"(41.902713901936174, -87.72645145715836)",September,2019,36
55TH and PULASKI,2242.0,5500 S PULASKI,2021-08-14,3,1150600.072649439,1867806.44512718,41.793155061,-87.723303765,"(41.793155060731024, -87.72330376464247)",August,2021,32
ELSTON AND LAWRENCE,1282.0,4800 N ELSTON AVENUE,2019-01-02,2,1145529.344259918,1931501.601268983,41.968039361,-87.740283894,"(41.96803936143674, -87.74028389448999)",January,2019,1
BELMONT AND KEDZIE,1373.0,3200 W BELMONT,2018-06-16,2,1154461.587940363,1921143.091003516,41.939440561,-87.707718516,"(41.93944056117365, -87.70771851630873)",June,2018,24
HALSTED AND NORTH,1764.0,800 W NORTH AVENUE,2018-05-07,5,1170700.68422007,1910913.190749698,41.91102851,-87.648335806,"(41.91102850981186, -87.64833580602037)",May,2018,19
31ST ST AND MARTIN LUTHER KING DRIVE,2123.0,400 E 31ST STREET,2019-08-22,1,1179437.985396417,1884565.84226022,41.838534018,-87.617046113,"(41.838534018118914, -87.61704611345726)",August,2019,34
CENTRAL AND IRVING PARK,1182.0,4000 N CENTRAL AVENUE,2016-09-24,4,1138258.614129764,1926071.172884932,41.953272751,-87.767150151,"(41.95327275103541, -87.76715015131407)",September,2016,38
CICERO AND 47TH,2202.0,4700 S CICERO AVE,2015-06-16,2,1145112.150373471,1873006.659918126,41.807530373,-87.743296821,"(41.80753037289406, -87.7432968212423)",June,2015,25
79TH AND HALSTED,2541.0,7900 S HALSTED STREET,2021-11-09,5,1172298.707400847,1852444.344822186,41.750549559,-87.644188368,"(41.750549559438944, -87.64418836784098)",November,2021,45
LAWRENCE AND WESTERN,1192.0,4800 N WESTERN AVENUE,2015-11-05,3,1159459.622430471,1931821.342623414,41.968640727,-87.689054241,"(41.96864072747715, -87.6890542408374)",November,2015,45
CENTRAL AND BELMONT,1602.0,3200 N CENTRAL AVENUE,2020-02-16,1,1138430.432324593,1920731.654410336,41.938617463,-87.766648297,"(41.938617463272884, -87.76664829683827)",February,2020,7
OGDEN AND KOSTNER,2223.0,4400 W OGDEN AVENUE,2019-12-13,5,1147406.592439224,1887689.099869462,41.847777523,-87.734505969,"(41.84777752280453, -87.73450596874825)",December,2019,50
CICERO AND HARRISON,2023.0,4800 W HARRISON STREET,2017-06-03,4,1144451.867388303,1896949.561959463,41.873245464,-87.745117179,"(41.873245464379586, -87.7451171788807)",June,2017,22
WESTERN AND FOSTER,1072.0,5200 N WESTERN AVE,2017-10-23,2,1159372.922497116,1934478.313674003,41.975933372,-87.689299589,"(41.97593337199358, -87.6892995891816)",October,2017,43
CALIFORNIA AND DIVERSEY,1513.0,2800 W DIVERSEY,2020-04-25,1,1157212.54253358,1918526.674434943,41.932205395,-87.697679244,"(41.93220539506452, -87.6976792438691)",April,2020,17
CICERO AND CHICAGO,1781.0,800 N CICERO AVENUE,2022-09-26,9,1144169.162482127,1904893.189220372,41.895049038,-87.745955516,"(41.89504903796389, -87.74595551626888)",September,2022,39
ROOSEVELT AND HALSTED,2233.0,800 W ROOSEVELT ROAD,2018-09-22,17,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",September,2018,38
CERMAK AND PULASKI,2334.0,4000 W CERMAK,2015-07-05,5,1150018.476053666,1889120.238540361,41.851654369,-87.724882975,"(41.85165436867626, -87.7248829753078)",July,2015,27
PULASKI AND FULLERTON,1481.0,2400 N PULASKI RD,2018-09-04,3,1149275.963864089,1915687.631931757,41.924572574,-87.726919111,"(41.92457257416937, -87.72691911144182)",September,2018,36
71ST AND ASHLAND,2391.0,7100 S ASHLAND,2021-07-26,3,1166868.379865725,1857616.168087255,41.764859382,-87.663940176,"(41.764859382425385, -87.66394017630476)",July,2021,30
KEDZIE AND 47TH,2101.0,4700 S KEDZIE AVE,2017-05-24,3,1155791.949302478,1873270.778481327,41.808047272,-87.704118822,"(41.80804727165029, -87.70411882229871)",May,2017,21
75TH AND STATE,2624.0,1 E 75TH STREET,2021-10-31,21,1177601.72646404,1855229.486604181,41.758074111,-87.624671658,"(41.75807411097799, -87.62467165835182)",October,2021,43
87TH AND VINCENNES,2413.0,848 W 87TH STREET,2021-06-14,17,1172002.531006759,1847197.326168367,41.736157546,-87.6454274,"(41.73615754630335, -87.64542740049411)",June,2021,24
CICERO AND FULLERTON,1474.0,4800 W FULLERTON AVE,2019-03-24,3,1143967.570794243,1915568.504954477,41.924347036,-87.74642764,"(41.924347036010694, -87.74642763965628)",March,2019,12
CICERO AND FULLERTON,1474.0,4800 W FULLERTON AVE,2016-12-18,5,1143967.570794243,1915568.504954477,41.924347036,-87.74642764,"(41.924347036010694, -87.74642763965628)",December,2016,50
CALIFORNIA AND DIVERSEY,1513.0,2800 W DIVERSEY,2016-09-09,5,1157212.54253358,1918526.674434943,41.932205395,-87.697679244,"(41.93220539506452, -87.6976792438691)",September,2016,36
ASHLAND AND DIVISION,1793.0,1600 W DIVISION STREET,2021-07-08,4,1165489.684200442,1908112.312963909,41.903455316,-87.667558994,"(41.903455316483814, -87.66755899396976)",July,2021,27
LAWRENCE AND CICERO,1041.0,4800 N CICERO AVE,2020-10-06,4,1143464.651785526,1931490.551883203,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)",October,2020,41
PETERSON AND WESTERN,1011.0,6000 N WESTERN AVE,2021-09-21,4,1159190.625032041,1939816.75471116,41.990586042,-87.689822473,"(41.99058604241958, -87.68982247294417)",September,2021,38
WESTERN AND TOUHY,1252.0,7200 N WESTERN AVENUE,2019-09-13,2,1158975.66256211,1947754.286963361,42.012371335,-87.690393917,"(42.012371334791766, -87.69039391737863)",September,2019,37
HALSTED AND DIVISION,1711.0,1200 N HALSTED,2021-11-23,6,1170746.639428735,1908242.256010774,41.903698308,-87.648245351,"(41.90369830765008, -87.64824535062563)",November,2021,47
STONEY ISLAND AND 79TH,2464.0,1600 E 79TH ST,2017-04-07,2,1188284.704439907,1852964.829047574,41.751611523,-87.585592284,"(41.75161152327319, -87.58559228428787)",April,2017,14
PULASKI AND IRVING PARK,1574.0,4000 W IRVING PARK RD,2019-03-29,4,1148988.727877253,1926320.954938409,41.953756874,-87.727698513,"(41.95375687447515, -87.72769851312907)",March,2019,13
MILWAUKEE AND MONTROSE,1364.0,5075 W MONTROSE AVENUE,2022-03-03,6,1141716.746618898,1928736.076639057,41.960522088,-87.754371424,"(41.96052208819935, -87.75437142402293)",March,2022,9
CENTRAL AND ADDISON,1682.0,3600 N CENTRAL AVENUE,2016-11-08,2,1138343.117435682,1923392.067464765,41.945919491,-87.766904594,"(41.945919490555106, -87.76690459426293)",November,2016,45
ROOSEVELT AND HALSTED,2233.0,800 W ROOSEVELT ROAD,2018-09-14,17,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",September,2018,37
ASHLAND AND IRVING PARK,1151.0,4000 N ASHLAND AVENUE,2015-03-06,2,1164899.463802581,1926665.661118925,41.954379326,-87.66919912,"(41.954379326212695, -87.66919911980419)",March,2015,10
PULASKI AND 79TH,2492.0,7900 S PULASKI ROAD,2018-01-28,5,1151054.87395657,1851842.663854121,41.749339,-87.722052091,"(41.74933900008238, -87.72205209091501)",January,2018,4
HALSTED AND FULLERTON,1701.0,2400 N HALSTED STREET,2021-11-21,5,1170501.602639925,1916200.061550148,41.925540315,-87.648912156,"(41.925540315431995, -87.64891215551155)",November,2021,46
JEFFERY AND 95TH,2522.0,9500 S JEFFERY AVE,2020-02-12,4,1191132.420601301,1842335.735988875,41.722375907,-87.575499903,"(41.72237590704101, -87.57549990332795)",February,2020,7
BROADWAY/SHERIDAN AND DEVON,1123.0,1200 W DEVON AVE,2022-11-05,4,1167109.644248166,1942688.147952186,41.998298228,-87.660611661,"(41.99829822771884, -87.66061166063517)",November,2022,44
CANAL AND ROOSEVELT,2294.0,500 W ROOSEVELT ROAD,2016-10-22,10,1173290.72186561,1895021.166235495,41.867362693,-87.639293195,"(41.867362692616666, -87.63929319464197)",October,2016,42
STONEY ISLAND AND 79TH,2464.0,1600 E 79TH ST,2021-09-02,1,1188284.704439907,1852964.829047574,41.751611523,-87.585592284,"(41.75161152327319, -87.58559228428787)",September,2021,35
MONTROSE AND WESTERN,1224.0,2400 W MONTROSE AVENUE,2019-04-21,1,1159562.971802959,1929191.337701253,41.961421726,-87.68874698,"(41.961421726406314, -87.68874697983858)",April,2019,16
119TH AND HALSTED,2404.0,800 W 119TH STREET,2021-12-25,5,1173111.174088158,1825985.001014405,41.677923389,-87.641989646,"(41.677923389134385, -87.64198964584013)",December,2021,51
HOLLYWOOD AND SHERIDAN,1343.0,1000 W HOLLYWOOD AVE,2015-11-18,8,1168580.228926466,1938090.295189338,41.985649799,-87.655335807,"(41.98564979859328, -87.65533580655139)",November,2015,47
DAMEN AND 63RD,2701.0,6300 S DAMEN AVENUE,2015-09-04,3,1164069.407943298,1862830.277442834,41.779226921,-87.674052731,"(41.77922692069256, -87.67405273137854)",September,2015,36
MICHIGAN AND ONTARIO,3082.0,628 N MICHIGAN AVE,2020-05-12,5,1177278.716938521,1904554.133997858,41.893432274,-87.624363719,"(41.893432274200684, -87.62436371928398)",May,2020,20
ROOSEVELT AND HALSTED,2234.0,800 W ROOSEVELT ROAD,2015-12-15,12,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",December,2015,51
JEFFERY AND 95TH,2523.0,2000 E 95TH ST,2019-08-01,3,1191188.381103057,1842410.411853539,41.722579473,-87.575292523,"(41.722579473126416, -87.57529252250366)",August,2019,31
FOSTER AND BROADWAY,1111.0,5200 N BROADWAY ST,2021-10-21,12,1167334.508577915,1934714.008346532,41.976412143,-87.660015082,"(41.97641214294823, -87.66001508205365)",October,2021,42
KOSTNER AND NORTH,2012.0,4400 W GRAND AVE,2017-07-07,2,1146773.519128439,1910425.663958581,41.91018141,-87.73624887,"(41.910181409597406, -87.73624887040725)",July,2017,27
CENTRAL AND FULLERTON,1444.0,5600 W FULLERTON AVENU,2015-12-10,4,1138627.279189421,1915438.969256439,41.924090199,-87.76605353,"(41.92409019883488, -87.76605353016079)",December,2015,50
HARLEM AND BELMONT,1391.0,3200 N HARLEM AVE,2020-05-02,7,1127481.020995451,1920467.613239239,41.938084468,-87.806896749,"(41.93808446822169, -87.80689674887883)",May,2020,18
FOSTER AND BROADWAY,1113.0,1200 W FOSTER AVE,2021-11-06,2,1167357.095930752,1934721.393266777,41.97643192,-87.659931806,"(41.97643192018459, -87.65993180604016)",November,2021,44
VAN BUREN AND WESTERN,2052.0,400 S WESTERN AVENUE,2021-01-22,19,1160431.682297829,1898091.942371589,41.876064776,-87.686415631,"(41.87606477642526, -87.68641563098768)",January,2021,3
CICERO AND PETERSON,1202.0,6000 N CICERO AVENUE,2020-08-12,4,1143247.733553094,1939479.342905704,41.989973915,-87.748473024,"(41.98997391514614, -87.74847302426933)",August,2020,33
